縣市2,提供家具_衣櫃？,有產權登記？,所在樓層,鄉鎮市區,縣市,需要管理費？,距頂樓層數,刊登者類型,提供家具_天然瓦斯？,陽台數,最大出租所費天數,建物樓高,客廳數,房數,房數2,管理費2,衛浴數,月管理費,坪數
2,1,1,4,1604,16,0,20,2,1,1,27,24,2,4,3,1,2,0,27.71
2,1,1,14,1602,16,1,8,0,0,1,15,22,2,2,1,2,2,2514,38.4
3,1,1,4,1809,18,0,1,2,1,2,19,5,1,2,1,1,2,0,20.0
2,1,1,5,1602,16,1,11,2,1,1,6,16,1,2,1,2,1,2999,25.0
3,1,1,7,1407,14,1,7,2,1,2,14,14,2,3,2,2,2,2000,46.0
2,0,1,10,1625,16,1,3,2,1,1,13,13,2,5,3,2,2,3000,42.0
3,1,1,0,804,8,0,2,0,0,3,3,2,2,6,3,1,3,0,92.0
3,1,1,15,1815,18,0,14,2,1,1,30,29,2,3,2,1,2,0,52.08
3,0,1,0,1814,18,0,2,2,0,2,15,2,2,3,2,1,2,0,60.0
2,0,1,1,1117,11,0,9,2,1,1,7,10,2,3,2,1,2,0,30.98
3,1,0,3,1402,14,0,5,2,1,3,16,8,2,3,2,1,2,0,42.0
2,1,0,3,1602,16,1,12,2,1,2,9,15,2,2,1,2,2,2000,26.0
3,1,1,4,1400,14,0,11,2,1,1,27,15,2,2,1,1,1,0,34.3
3,1,1,6,1407,14,0,6,2,1,1,5,12,2,2,1,1,2,0,26.0
3,1,1,12,1309,13,1,15,2,1,1,7,27,2,2,1,2,1,1645,25.75
2,0,1,10,1611,16,1,5,2,1,2,3,15,2,3,2,2,2,2100,40.0
2,1,0,7,1625,16,1,5,2,1,2,2,12,2,3,2,2,2,3000,46.0
2,1,0,6,1624,16,0,6,2,1,2,23,12,2,3,2,1,2,0,48.0
2,0,1,4,1603,16,1,8,2,1,1,2,12,1,2,1,2,1,1880,24.0
3,1,1,15,1400,14,0,1,2,1,0,31,16,1,2,1,1,1,0,35.46
3,1,0,3,1407,14,1,12,2,1,2,13,15,2,3,2,2,2,2900,30.0
2,1,1,10,1602,16,1,5,2,1,1,13,15,2,2,1,2,1,2400,21.0
2,1,1,9,1602,16,1,5,2,1,2,8,14,2,3,2,2,2,2400,30.0
2,0,1,9,1112,11,0,3,2,1,1,26,12,2,3,2,1,2,0,25.7
2,1,0,14,1602,16,1,1,2,0,1,8,15,1,2,1,2,1,2500,30.0
2,1,1,2,1110,11,0,11,2,1,1,22,13,2,3,2,1,2,0,38.0
2,0,1,14,1602,16,1,1,2,1,1,2,15,2,3,2,2,2,2237,30.0
3,1,1,8,1309,13,1,2,2,1,2,21,10,2,4,3,3,2,5300,40.0
3,1,1,12,2537,25,0,3,1,1,2,3,15,2,2,1,1,1,0,29.0
1,0,1,2,1711,17,0,13,2,1,2,9,15,2,3,2,1,2,0,32.3
2,1,0,6,1613,16,1,9,2,1,2,11,15,2,3,2,2,2,3000,33.0
2,1,1,11,1621,16,0,4,2,1,2,22,15,2,3,2,1,2,0,25.17
3,0,1,6,1407,14,1,10,2,0,2,10,16,2,4,3,2,2,2870,47.0
3,0,1,9,1407,14,1,5,2,1,2,8,14,2,2,1,2,2,3500,46.14
3,1,1,0,1814,18,0,3,2,0,4,21,3,3,3,2,1,4,0,69.26
3,0,1,7,1407,14,1,6,2,1,1,14,13,2,4,3,2,2,3000,50.0
2,0,0,12,1625,16,0,2,2,0,4,3,14,2,4,3,1,2,0,46.0
2,1,1,9,1619,16,0,6,2,1,2,4,15,2,3,2,1,2,0,27.0
3,1,1,15,1407,14,1,0,2,1,1,9,15,2,4,3,2,2,3500,34.59
3,1,1,4,1407,14,0,4,2,1,2,5,8,2,4,3,1,2,0,40.0
3,1,1,3,1407,14,0,10,2,1,2,17,13,2,3,2,1,2,0,46.56
2,1,0,10,1602,16,1,2,2,1,2,5,12,2,3,2,2,2,2000,40.0
2,1,1,9,1611,16,1,6,2,1,2,5,15,2,3,2,2,2,3000,35.0
2,0,1,10,1602,16,0,4,2,1,1,5,14,1,2,1,1,1,0,20.0
2,1,1,8,1112,11,0,2,2,1,1,27,10,2,3,2,1,2,0,27.0
2,1,1,10,1616,16,1,5,2,0,1,8,15,2,2,1,2,1,2500,20.0
3,1,0,13,2116,21,1,2,0,1,2,6,15,2,3,2,2,2,2000,27.0
3,1,1,4,1829,18,1,7,2,0,1,21,11,2,3,2,1,2,1040,32.0
2,1,0,5,1625,16,1,17,2,1,2,9,22,2,2,1,2,2,5000,45.0
3,1,1,2,2535,25,0,13,2,1,1,19,15,1,2,1,1,1,0,29.82
2,1,1,3,1602,16,1,12,2,1,2,14,15,2,2,1,2,1,3000,30.0
3,1,1,4,1201,12,1,11,2,0,1,12,15,1,4,3,1,2,1335,31.4
2,0,1,1,1602,16,1,11,2,1,2,8,12,2,3,2,2,2,3000,37.07
3,1,1,5,1400,14,0,11,2,1,0,8,16,2,3,2,1,2,0,24.62
3,1,1,4,1815,18,0,18,2,0,3,14,22,2,4,3,1,2,0,35.69
2,1,1,23,1621,16,1,1,1,1,2,12,24,2,2,1,2,1,3300,21.0
3,0,1,11,1309,13,1,3,2,1,2,7,14,2,3,2,2,2,3000,30.0
2,1,1,15,1619,16,0,0,2,1,2,4,15,2,2,1,1,1,0,21.0
2,1,1,5,1102,11,0,10,2,1,3,30,15,2,4,3,1,3,0,90.94
3,1,1,0,1814,18,0,2,2,0,0,9,2,1,1,1,1,1,0,15.0
2,1,0,12,1613,16,1,0,2,1,2,10,12,2,2,1,2,1,2800,26.0
3,1,1,15,1201,12,1,9,2,0,1,10,24,2,2,1,2,1,2000,25.0
2,1,1,25,1625,16,1,14,2,1,2,12,39,2,3,2,3,2,8500,80.0
2,1,1,5,1625,16,0,5,1,1,2,6,10,2,3,2,1,1,0,28.0
2,0,1,9,1604,16,1,14,2,1,2,6,23,2,3,2,2,2,3550,50.0
3,1,1,5,1201,12,1,9,2,1,2,3,14,2,4,3,2,2,2000,35.0
3,1,1,22,1309,13,0,2,2,1,1,31,24,2,2,1,1,1,0,28.0
2,0,1,15,1105,11,0,0,1,1,1,4,15,2,2,1,1,1,0,31.25
2,1,1,6,1603,16,1,2,2,1,2,6,8,2,3,2,2,2,3300,28.0
3,1,0,0,1411,14,0,4,0,0,3,13,4,2,4,3,1,3,0,49.5
3,1,1,14,1309,13,1,10,2,1,2,17,24,2,3,2,2,2,2500,36.08
3,1,1,11,1407,14,1,1,2,1,1,6,12,2,3,2,2,2,2300,36.0
3,1,1,5,1829,18,0,10,2,0,1,28,15,2,3,2,1,2,0,19.0
3,1,1,9,1200,12,1,1,1,1,2,5,10,1,2,1,2,1,2000,22.0
2,1,0,6,1604,16,1,9,2,1,2,10,15,2,2,1,2,1,3000,30.0
2,0,0,5,1616,16,0,13,2,1,1,6,18,2,2,1,1,1,0,28.0
3,0,1,7,1401,14,0,8,2,1,1,16,15,2,3,2,1,3,0,29.38
2,0,1,0,1602,16,1,2,2,1,1,20,2,2,4,3,2,2,3000,50.0
3,0,1,9,1402,14,1,1,2,1,2,31,10,2,3,2,2,2,2500,22.91
2,1,0,7,1604,16,1,5,2,1,2,17,12,2,3,2,2,2,3000,35.0
2,0,1,0,1602,16,0,4,2,0,1,3,4,3,4,3,1,4,0,50.0
3,0,1,6,1401,14,0,9,2,1,3,11,15,2,4,3,1,2,0,49.6
2,1,1,13,1625,16,1,1,2,1,2,2,14,2,3,2,2,2,3000,40.0
1,1,1,8,1708,17,1,2,2,1,1,16,10,2,2,1,2,1,4900,33.0
2,1,1,7,1625,16,0,7,2,1,2,9,14,2,4,3,1,3,0,93.0
2,0,1,1,1611,16,0,2,2,0,0,15,3,0,0,1,1,0,0,16.0
1,0,1,23,1709,17,1,10,2,1,1,30,33,2,4,3,3,2,6700,63.0
3,0,0,12,1412,14,1,3,2,1,2,27,15,2,3,2,2,2,3000,38.0
2,0,1,1,1124,11,0,4,0,0,0,4,5,2,3,2,1,1,0,30.0
3,1,1,13,1201,12,1,2,2,1,1,7,15,2,2,1,2,2,2400,30.0
2,0,1,25,1625,16,1,14,2,0,2,12,39,2,3,2,3,2,8500,80.0
2,1,1,5,1117,11,0,19,2,1,1,3,24,2,3,2,1,2,0,43.15
3,1,1,12,1407,14,0,1,2,1,1,4,13,1,2,1,1,1,0,16.13
2,0,1,11,1613,16,1,4,2,1,2,24,15,2,3,2,2,2,3000,26.0
3,1,1,8,2513,25,1,7,2,0,1,14,15,1,2,1,2,1,2300,26.91
3,1,1,9,1813,18,0,6,2,0,2,13,15,2,3,2,1,2,0,25.0
2,1,0,12,1613,16,1,3,2,1,2,10,15,2,3,2,2,2,3000,45.0
2,0,1,7,1602,16,1,8,2,1,2,2,15,2,3,2,2,2,2000,25.0
2,1,0,11,1625,16,1,1,2,0,1,5,12,2,3,2,2,1,3001,30.0
1,1,1,21,1700,17,1,3,2,1,1,8,24,2,3,2,3,2,6959,53.0
3,1,1,0,1401,14,0,2,2,0,0,14,2,2,6,3,1,2,0,26.41
2,0,1,5,1117,11,0,9,2,1,1,23,14,2,2,1,1,1,0,20.97
3,1,1,4,1407,14,0,11,2,1,1,11,15,2,2,1,1,1,0,38.0
3,0,0,12,1407,14,0,2,2,1,1,7,14,2,3,2,1,2,0,52.0
2,0,1,15,1104,11,0,0,0,1,1,17,15,2,3,2,1,2,0,34.0
2,1,0,10,1625,16,1,6,2,1,2,20,16,1,3,2,2,1,3300,40.0
3,1,1,8,1407,14,0,7,2,1,1,14,15,2,3,2,1,2,0,29.0
2,1,1,11,1602,16,0,4,2,1,2,3,15,2,2,1,1,1,0,28.0
3,1,1,5,1309,13,1,5,2,1,1,17,10,2,3,2,2,2,3300,35.0
2,1,1,8,1616,16,0,7,2,1,2,15,15,2,2,1,1,1,0,23.0
3,1,0,8,2535,25,0,7,2,1,1,5,15,1,2,1,1,1,0,36.01
3,1,1,2,801,8,0,12,0,0,1,26,14,0,1,1,1,1,0,6.0
3,1,1,10,1407,14,0,3,2,1,0,14,13,2,2,1,1,1,0,33.0
2,1,1,9,1602,16,1,5,2,1,4,10,14,2,4,3,2,2,2400,49.0
2,1,1,10,1112,11,1,5,0,1,1,13,15,1,2,1,2,1,2787,28.0
2,1,1,9,1611,16,1,3,2,1,2,21,12,2,3,2,2,2,2000,30.0
2,1,1,2,1618,16,0,5,2,0,1,28,7,2,2,1,1,1,0,17.0
3,0,1,2,1401,14,0,13,2,1,2,17,15,2,3,2,1,2,0,34.0
2,0,1,2,1602,16,0,12,2,1,0,5,14,1,1,1,1,1,0,26.0
3,1,1,9,1309,13,1,6,2,1,1,28,15,2,3,2,2,2,1873,23.82
2,1,1,9,1625,16,1,5,2,1,1,6,14,2,3,2,2,2,3400,35.0
2,1,1,7,1625,16,1,15,2,1,1,11,22,2,3,2,2,1,2443,40.0
3,1,0,6,1309,13,1,9,2,1,1,3,15,2,2,1,2,1,2000,18.0
3,1,1,4,1309,13,1,15,2,1,2,16,19,2,3,2,2,2,4500,40.0
3,1,1,17,1400,14,0,3,2,1,1,9,20,2,4,3,1,3,0,57.4
3,1,1,5,1407,14,0,9,2,0,1,22,14,1,1,1,1,1,0,29.8
3,1,1,20,1201,12,0,8,2,1,1,13,28,2,3,2,1,2,0,30.0
2,0,1,0,1616,16,0,4,2,1,3,4,4,2,4,3,1,4,0,101.0
2,0,1,9,1128,11,0,3,2,1,1,28,12,2,3,2,1,2,0,24.84
2,1,1,7,1625,16,0,5,2,1,1,6,12,1,2,1,1,1,0,26.0
2,1,1,4,1625,16,1,19,2,1,2,25,23,2,2,1,2,2,5000,50.0
2,0,1,8,1602,16,0,7,2,1,1,7,15,2,2,1,1,1,0,23.36
2,1,1,12,1124,11,1,9,2,1,1,13,21,2,3,2,2,2,2984,38.0
3,1,1,4,1410,14,1,1,0,0,2,9,5,2,3,2,1,2,1000,21.0
2,1,1,11,1112,11,1,4,2,0,1,9,15,2,3,2,2,2,2153,41.17
2,1,0,2,1601,16,1,5,2,1,3,4,7,2,3,2,2,2,2800,45.0
3,1,1,5,1309,13,1,10,2,1,2,14,15,2,3,2,2,2,4200,40.0
3,0,1,5,1308,13,0,0,2,1,1,12,5,2,2,1,1,1,0,18.69
3,1,1,10,1309,13,0,5,2,1,2,19,15,2,3,2,1,2,0,32.0
2,1,1,4,1620,16,1,12,2,1,2,8,16,2,2,1,2,1,1773,28.41
3,1,0,4,1309,13,1,10,2,1,2,4,14,2,2,1,2,1,2000,20.0
3,1,1,11,1407,14,1,4,2,1,2,10,15,2,3,2,1,2,1500,35.0
2,1,0,13,1602,16,1,1,2,1,2,2,14,2,2,1,2,1,2000,25.0
3,1,0,9,1309,13,0,1,2,0,0,3,10,1,1,1,1,1,0,18.0
2,0,1,10,1100,11,0,4,2,1,2,11,14,2,3,2,1,2,0,29.05
2,0,1,0,1115,11,0,2,2,0,0,7,2,2,4,3,1,3,0,67.92
2,1,0,9,1603,16,1,4,2,0,1,11,13,2,4,3,2,2,2000,38.0
2,0,0,28,1602,16,1,0,2,1,2,24,28,2,4,3,2,2,4119,48.0
1,1,1,1,1702,17,0,8,2,1,1,30,9,2,3,2,1,2,0,53.44
3,0,0,12,2116,21,1,3,2,1,1,4,15,2,3,2,2,2,2000,39.0
1,1,0,8,1703,17,1,3,2,0,0,10,11,2,3,2,2,2,3000,24.09
2,1,1,7,1103,11,1,0,2,1,2,7,7,2,4,3,2,2,3270,42.82
2,0,1,9,1111,11,0,5,2,1,1,17,14,1,2,1,1,1,0,32.59
3,1,1,15,1309,13,0,0,2,1,1,3,15,2,4,3,1,2,0,30.0
2,0,1,5,1124,11,0,0,2,1,1,8,5,2,3,2,1,2,0,24.05
3,1,1,6,1400,14,0,8,2,1,1,27,14,2,3,2,1,2,0,41.0
2,0,1,7,1625,16,0,18,2,1,0,29,25,2,3,2,1,3,0,103.67
2,1,0,15,1625,16,1,1,2,1,1,10,16,1,1,1,2,1,2000,15.0
2,1,1,11,1602,16,1,1,2,1,1,12,12,1,2,1,2,1,3200,20.0
1,1,1,2,1700,17,1,11,2,1,2,30,13,1,2,1,3,2,5894,36.0
2,1,0,6,1613,16,1,8,2,1,1,8,14,1,2,1,2,1,2500,20.0
1,1,1,3,1703,17,1,0,2,1,1,27,3,2,3,2,1,1,500,66.32
2,1,1,18,1625,16,1,10,2,1,1,5,28,2,3,2,2,2,2500,33.0
2,0,0,0,1602,16,0,3,2,0,4,9,3,4,5,3,1,4,0,65.0
1,1,1,4,1702,17,1,15,2,1,2,7,19,2,2,1,3,2,11646,77.16
2,0,1,3,1602,16,0,8,2,0,2,18,11,2,4,3,1,2,0,55.0
3,1,1,1,1400,14,0,3,2,0,1,2,4,1,2,1,1,1,0,21.76
2,0,0,6,1602,16,0,6,2,1,2,3,12,2,2,1,1,1,0,30.0
3,0,1,12,1309,13,1,1,2,1,1,3,13,1,2,1,2,1,1800,20.0
2,1,1,3,1624,16,1,12,2,1,2,9,15,2,3,2,2,2,3300,35.0
2,0,0,0,1602,16,0,5,2,1,2,3,5,2,3,2,1,1,0,28.0
2,1,1,5,1117,11,1,7,2,1,1,29,12,1,2,1,2,2,2719,43.65
2,1,1,4,1625,16,1,18,2,1,1,9,22,2,3,2,2,2,4300,33.56
2,0,1,0,1613,16,0,2,2,0,1,13,2,5,0,1,1,4,0,113.0
2,1,1,11,1625,16,1,0,2,1,1,25,11,1,2,1,2,1,2810,30.0
1,1,1,2,1708,17,0,36,2,1,1,12,38,2,1,1,1,1,0,21.45
3,1,1,11,1309,13,0,13,2,0,1,4,24,2,2,1,1,1,0,20.0
2,1,0,12,1602,16,0,3,1,0,2,5,15,2,3,2,1,2,0,31.4
1,1,1,8,1708,17,1,6,2,1,2,26,14,2,3,2,1,2,1000,64.8
3,1,1,21,1412,14,0,3,2,1,1,7,24,1,1,1,1,1,0,15.0
3,1,1,9,1402,14,1,5,2,1,2,16,14,2,3,2,3,2,5483,54.0
3,1,1,4,1829,18,0,2,2,1,2,2,6,2,2,1,1,1,0,15.04
3,0,1,1,800,8,0,0,0,0,0,7,1,1,2,1,1,1,0,30.0
3,0,1,0,1809,18,0,4,2,0,4,3,4,2,4,3,1,5,0,78.0
2,1,1,3,1625,16,0,22,2,1,2,9,25,2,3,2,1,2,0,57.0
2,1,1,4,1604,16,1,20,2,1,1,27,24,2,4,3,2,2,3800,49.0
3,1,1,19,1309,13,0,5,2,1,1,7,24,2,3,2,1,2,0,28.0
2,1,0,3,1604,16,1,11,2,1,1,3,14,2,3,2,1,1,1500,24.0
2,1,0,2,1624,16,1,3,2,1,1,3,5,1,3,2,2,1,2000,25.0
2,1,1,9,1601,16,1,3,2,0,3,22,12,2,3,2,2,2,2324,35.0
2,1,1,9,1625,16,1,0,1,1,1,18,9,2,2,1,2,1,1800,24.0
3,1,1,2,1407,14,1,13,2,1,1,2,15,2,2,1,2,1,2000,29.26
2,0,1,0,1621,16,0,4,0,1,4,22,4,2,4,3,1,4,0,100.0
2,1,1,1,1613,16,0,3,2,1,6,29,4,1,4,3,1,4,0,45.0
3,1,1,0,1810,18,0,4,1,1,3,29,4,2,4,3,1,2,0,53.4
2,1,1,18,1110,11,0,0,2,1,1,27,18,1,1,1,1,1,0,12.97
3,1,0,27,1309,13,0,0,1,1,1,3,27,1,2,1,1,1,0,17.0
1,1,1,2,1704,17,1,15,2,1,1,31,17,2,3,2,2,2,4438,44.3
2,0,1,1,1613,16,0,2,2,0,0,2,3,2,8,3,1,3,0,60.0
2,0,1,13,1102,11,0,1,2,1,1,10,14,1,2,1,1,2,0,31.73
2,1,1,29,1624,16,1,3,2,0,0,2,32,1,1,1,2,1,2000,20.0
3,1,1,3,1400,14,0,2,1,0,0,17,5,1,1,1,1,1,0,6.0
2,1,1,9,1602,16,1,5,2,0,1,12,14,2,2,1,2,2,2000,20.0
2,1,1,14,1604,16,1,1,2,1,2,2,15,2,3,2,3,3,5151,77.0
2,0,1,0,1620,16,0,4,2,1,2,26,4,2,4,3,1,4,0,40.0
3,0,1,9,1400,14,1,3,2,0,2,18,12,2,3,2,2,2,2000,26.0
2,1,1,2,1618,16,0,10,2,1,2,31,12,1,2,1,1,1,0,19.0
2,1,1,3,1602,16,1,12,2,0,1,6,15,2,2,1,2,1,1900,19.0
1,1,1,15,1700,17,1,0,2,1,1,22,15,2,3,2,3,2,6500,63.36
2,1,1,8,1625,16,1,6,2,1,1,4,14,2,2,1,2,1,2000,25.0
3,1,1,9,1200,12,1,4,0,0,1,26,13,2,3,2,2,2,1700,32.0
3,1,1,4,1412,14,0,6,2,1,1,19,10,1,3,2,1,2,0,19.43
2,1,0,16,1625,16,0,8,2,1,2,29,24,2,2,1,1,1,0,47.0
3,1,1,6,1412,14,0,2,2,1,1,21,8,2,3,2,1,2,0,28.06
1,0,1,9,1703,17,1,3,2,1,2,13,12,2,4,3,3,2,6307,84.05
2,0,1,8,1112,11,1,6,2,0,1,13,14,1,2,1,2,1,1981,17.0
3,1,1,5,1400,14,0,14,2,1,1,16,19,2,2,1,1,1,0,19.57
3,0,1,3,1309,13,1,21,2,1,1,6,24,2,2,1,2,1,1800,20.0
2,0,1,2,1616,16,1,8,2,0,2,12,10,2,3,2,2,2,2600,56.0
1,1,1,6,1706,17,1,8,2,1,2,29,14,2,3,2,3,2,8140,54.0
3,1,1,15,1407,14,1,0,2,1,2,19,15,2,3,2,2,2,2700,45.89
2,1,1,6,1604,16,1,8,2,1,2,12,14,2,3,2,2,2,3400,28.0
3,0,1,14,1401,14,1,0,2,1,2,3,14,2,3,2,2,1,2500,34.34
2,0,1,12,1110,11,0,1,2,1,2,13,13,2,4,3,1,3,0,95.55
3,1,1,5,1309,13,1,8,2,1,2,29,13,2,4,3,2,2,4100,40.0
3,0,1,16,1401,14,0,1,2,1,2,14,17,2,2,1,1,1,0,24.8
3,1,1,2,1308,13,0,3,2,1,2,16,5,2,3,2,1,2,0,35.0
2,0,1,8,1625,16,1,4,2,0,1,8,12,1,2,1,2,1,2000,18.0
2,1,1,8,1604,16,1,6,2,0,1,7,14,2,3,2,2,2,3000,24.0
2,1,1,14,1103,11,1,0,0,1,1,6,14,2,3,2,1,2,1406,28.34
2,1,1,1,1601,16,0,4,2,1,1,3,5,2,3,2,1,2,0,30.0
3,1,1,13,1400,14,0,3,2,1,1,26,16,2,2,1,1,1,0,31.67
3,0,1,9,2116,21,1,6,2,1,1,9,15,2,3,2,2,2,2000,32.0
2,1,1,18,1603,16,1,7,2,1,2,5,25,2,3,2,2,2,3000,35.0
2,1,0,7,1625,16,1,0,2,0,2,18,7,2,2,1,2,2,2000,38.0
3,1,1,17,1407,14,1,1,2,1,2,30,18,2,4,3,2,2,2140,50.71
1,1,1,10,1705,17,1,2,2,1,1,6,12,2,3,2,3,2,5202,40.88
3,1,1,9,2500,25,1,6,2,1,1,24,15,1,3,2,2,2,2400,34.86
2,1,1,21,1625,16,0,5,2,1,1,19,26,2,3,2,1,2,0,30.0
3,1,1,3,1407,14,1,4,2,1,3,6,7,2,3,2,2,2,1600,30.0
2,0,1,2,1602,16,1,7,2,1,1,19,9,2,3,2,2,2,2001,28.0
2,1,0,6,1611,16,1,6,2,1,2,2,12,2,4,3,2,2,4100,50.0
3,1,1,22,1201,12,1,2,2,1,2,29,24,2,5,3,3,5,6434,122.0
1,1,1,10,1703,17,1,10,2,1,1,20,20,1,2,1,2,1,2311,24.35
1,1,1,8,1701,17,1,15,2,1,1,18,23,2,3,2,2,2,4000,47.0
3,1,1,7,2511,25,0,8,2,0,1,22,15,1,2,1,1,2,0,29.56
3,1,1,22,1412,14,1,2,2,0,1,29,24,1,1,1,2,1,2000,17.0
3,1,1,3,1201,12,0,18,2,0,1,15,21,1,1,1,1,1,0,15.0
2,1,1,7,1602,16,1,9,2,0,2,9,16,2,3,2,2,2,2500,28.0
3,1,1,10,1201,12,0,4,2,1,1,7,14,2,4,3,1,2,0,35.0
3,1,1,7,2511,25,1,13,2,1,1,10,20,1,2,1,2,1,2000,36.93
2,1,1,7,1624,16,1,2,2,1,2,29,9,2,3,2,2,2,2240,49.0
2,0,0,4,1604,16,0,20,2,0,1,8,24,2,4,3,1,2,0,41.0
2,1,1,2,1625,16,1,12,2,1,1,12,14,2,2,1,2,1,2000,34.61
3,1,1,5,1407,14,1,8,0,1,1,11,13,2,2,1,2,1,2020,29.0
1,1,1,12,1700,17,1,0,2,1,1,7,12,1,1,1,2,1,2600,18.86
3,0,1,3,1824,18,1,4,2,0,1,6,7,2,3,2,1,2,1400,36.0
3,1,1,3,1407,14,0,12,2,1,1,9,15,2,2,1,1,1,0,25.67
3,1,1,7,1407,14,0,2,2,0,0,22,9,2,2,1,1,1,0,20.0
1,1,1,10,1710,17,1,5,2,1,1,25,15,2,2,1,2,2,4996,48.0
3,0,1,0,1308,13,0,5,2,0,3,6,5,3,5,3,1,4,0,66.53
2,1,1,14,1602,16,1,1,2,1,2,3,15,2,3,2,2,2,3000,30.0
2,0,1,14,1602,16,1,1,2,1,2,9,15,1,2,1,2,1,3000,18.0
2,1,1,17,1624,16,1,8,2,1,1,6,25,2,2,1,3,2,6421,45.0
3,0,1,4,1829,18,1,7,0,0,1,6,11,2,3,2,2,2,2500,21.9
3,0,1,5,1407,14,1,19,2,0,1,15,24,1,1,1,2,1,2000,10.0
3,1,1,9,1802,18,0,6,2,1,1,9,15,2,2,1,1,1,0,17.0
1,0,1,3,1701,17,0,4,0,1,2,1,7,2,3,2,1,2,0,45.0
2,1,0,3,1602,16,1,12,2,1,2,4,15,2,3,2,2,2,3000,26.0
3,0,1,13,1400,14,0,1,2,1,2,26,14,2,3,2,1,2,0,38.27
2,1,1,0,1602,16,0,4,2,1,2,3,4,2,4,3,1,4,0,56.0
1,1,0,4,1700,17,1,7,2,0,1,10,11,1,1,1,2,1,1509,15.09
1,1,1,7,1707,17,1,4,0,0,1,6,11,1,1,1,2,1,2660,10.0
3,1,1,11,1407,14,0,1,2,1,2,2,12,2,2,1,1,1,0,20.0
3,1,1,22,1803,18,0,2,2,1,1,28,24,2,3,2,1,2,0,24.3
2,1,1,12,1625,16,1,0,2,1,2,6,12,2,3,2,1,2,500,30.0
2,1,1,4,1602,16,1,11,2,1,1,3,15,2,2,1,2,1,2000,26.0
3,1,1,5,1408,14,1,7,2,1,1,3,12,1,2,1,1,1,500,17.79
3,1,1,10,2511,25,1,8,2,0,2,17,18,1,2,1,2,1,2000,17.0
3,1,1,8,2537,25,1,16,2,0,1,25,24,2,3,2,2,2,4220,68.81
3,0,1,12,1809,18,0,1,2,0,3,30,13,2,4,3,1,2,0,28.93
2,1,1,2,1601,16,0,13,2,1,1,10,15,2,2,1,1,1,0,26.0
2,0,1,8,1114,11,1,21,2,1,2,21,29,2,3,2,2,2,4859,59.9
2,1,0,6,1603,16,1,8,2,1,1,6,14,2,2,1,1,2,1416,30.0
2,1,1,6,1613,16,1,9,2,1,2,11,15,2,2,1,2,1,3000,25.0
3,1,0,15,1309,13,0,0,2,0,1,9,15,2,4,3,1,2,0,30.0
3,0,1,14,2116,21,1,1,2,1,1,10,15,2,3,2,2,2,2000,39.0
3,1,1,10,1407,14,1,0,2,1,1,14,10,1,2,1,2,1,2000,36.24
2,1,1,10,1619,16,0,5,2,0,1,13,15,1,2,1,1,1,0,15.46
2,1,1,12,1625,16,1,10,2,1,0,18,22,2,3,2,2,2,2200,36.4
2,1,1,10,1109,11,1,4,2,1,1,10,14,1,2,1,2,1,1680,16.0
1,1,1,2,1702,17,1,5,2,1,1,9,7,1,2,1,1,1,1500,16.63
2,1,1,13,1111,11,1,10,2,1,1,11,23,2,3,2,2,2,3900,49.04
2,1,1,2,1624,16,1,13,2,1,2,2,15,2,3,2,2,2,2800,30.0
3,0,1,5,1412,14,0,19,2,1,1,8,24,2,3,2,1,2,0,24.93
2,0,0,6,1602,16,1,9,2,1,2,2,15,2,3,2,2,2,3000,43.0
3,1,1,6,1400,14,0,14,2,1,1,13,20,2,2,1,1,2,0,20.84
2,1,1,10,1117,11,0,4,2,1,1,14,14,2,3,2,1,2,0,36.48
2,1,1,3,1601,16,0,17,2,1,2,26,20,2,3,2,1,2,0,40.46
3,1,1,10,1407,14,1,5,2,1,2,12,15,2,3,2,2,2,2237,34.21
1,0,1,8,1705,17,1,4,2,0,1,13,12,2,2,1,2,1,3245,37.63
3,0,1,3,1412,14,0,1,2,0,2,6,4,2,3,2,1,2,0,29.09
2,0,1,4,1117,11,0,9,2,1,1,6,13,2,3,2,1,2,0,48.0
2,1,1,6,1103,11,1,9,2,1,1,13,15,2,2,1,2,1,1600,14.0
2,1,1,10,1604,16,1,4,2,0,1,3,14,2,4,3,2,2,3000,36.0
3,1,1,26,1201,12,1,2,2,1,1,15,28,2,3,2,2,2,2500,30.0
2,0,1,4,1115,11,0,1,2,0,2,25,5,2,3,2,1,2,0,29.98
3,1,1,7,1200,12,0,1,2,1,1,6,8,2,3,2,1,2,0,31.97
2,1,0,12,1625,16,1,3,2,1,2,9,15,2,3,2,1,1,1200,28.0
2,0,1,0,1601,16,0,2,2,1,1,2,2,2,2,1,1,2,0,40.0
2,0,1,10,1602,16,0,4,2,1,1,5,14,2,2,1,1,1,0,29.0
3,0,1,4,1407,14,0,11,2,1,1,9,15,2,2,1,1,1,0,26.0
2,1,0,3,1602,16,1,11,1,1,1,4,14,1,2,1,2,1,1900,20.0
3,1,1,8,1309,13,1,1,2,1,1,22,9,2,2,1,2,2,2846,30.0
1,1,1,4,1700,17,0,5,0,1,1,21,9,1,2,1,1,1,0,17.0
3,0,1,10,2500,25,1,5,2,1,2,20,15,2,3,2,2,2,3510,59.28
3,0,1,2,1400,14,1,15,2,1,1,8,17,1,1,1,2,1,1670,11.64
3,0,1,3,1201,12,1,11,2,0,1,19,14,2,3,2,2,2,2200,30.0
